employee_id,test_score
000af67b,91
003a9cff,273
00bc8536,174
00be1442,303
00d6fdfd,106
0129f72f,402
01aa135f,258
02cba29a,379
0390bb8b,205
03a8743a,265
040001a4,235
04311ecb,174
044c241c,265
04bca1f7,220
04d0de08,356
04de1f43,159
065bef5c,235
06ac534e,273
07e9e2c2,91
07eb21de,205
07f79c30,98
0a096c9c,212
0a52817d,227
0a6e155a,303
0b3f7c51,242
0b5637d7,212
0ba1e858,38
0c6ec688,136
0c843034,189
0d0f885d,182
0d3fab51,326
0d7bb37c,280
0dcd7810,424
0e51b4e7,227
0e5f7d11,288
0e7a60a8,205
0e836902,174
0ee2cf84,106
0f2319ae,379
0f2e5ec9,189
0f4d1cff,386
0f78b6fd,288
10aeb364,265
10c54f24,152
1149fc0d,333
115c7d85,205
116b58cf,182
11c9971a,227
11e44cc7,83
11e61339,341
11e9ac6c,167
12d9bf3a,379
13eee288,280
141e6ecb,364
14544b08,242
149d37b2,235
14a3d50d,197
14f5e806,167
152259c9,265
15995879,273
15a8065a,121
161c4d66,212
1623d0c9,152
16b4eb7c,212
170eaabe,174
17483a7c,295
177de4ed,227
17a4ee4b,189
18c20092,250
1963f987,303
198e1a78,250
1a150568,364
1ae8d25f,220
1b30e815,121
1b32f3f5,250
1b6e0be9,212
1bb4fc5e,212
1be5eccb,402
1c2e4596,303
1ccf7241,265
1dd5b8d0,182
20320ac0,227
20a898a5,174
20c1f2ab,424
212d0ccb,212
2161245d,242
224e8e50,91
233e5f29,174
239f57a2,295
23aba68b,409
2450d532,189
246b221c,303
249a6c42,212
25d23a7c,174
26e1942e,174
26fec077,341
272b93f1,227
27644867,273
2831f170,129
283cb5b2,174
28ca8384,220
28faeb10,98
2aa74cd6,220
2b450c6b,333
2b65a8b7,242
2ba7657f,235
2c218e8f,295
2cc30425,159
2d54740d,311
2d69d975,242
2e0e1cee,250
2e91c3cf,220
2ea241ec,303
2eaaf42c,114
2f3c7c83,159
2f4312d0,348
2f848ab0,295
2f8a425a,235
2fef6027,288
30192bf4,182
312581bc,182
3135ebd2,280
314bc11c,439
325b71cd,144
336361fc,242
33d05649,288
340b1336,265
3474567e,280
35a6eceb,280
35c38582,212
366b1d0f,273
3750c061,258
386b9dad,197
3870bb30,394
38df15ce,220
3a1e550d,242
3a3fed54,197
3b4dd5df,280
3bffd4f8,318
3c2d45cc,288
3c308b87,76
3c528414,167
3c71e2ec,220
3d9e9752,227
3dc6ca19,182
3de78aa1,159
3e3edda6,242
3e8dbe4c,174
3ee66efc,409
40e853ea,227
41890e7a,114
4222521e,326
4397b678,265
43c1d8c2,432
4427aff6,250
445bd5bb,242
4487ca5f,326
4532e76f,220
46c39f61,167
4778d76c,220
47c9b35e,295
47d6fc9f,280
48507fc0,462
49f49cc7,189
49f4dc41,220
4a9eb443,106
4b934557,220
4bd699d4,167
4c594b79,348
4c9b3876,409
4d593345,136
4e8b206b,326
4fa96bbd,197
4ffffa9d,121
5046ef5b,235
50612e98,159
508d4855,144
51532894,288
51623589,220
51b9f4c2,152
51e27cfe,98
51e801e4,159
52204196,205
52b7c12e,326
52fc4d27,303
538f99bc,182
53f52fd8,242
54289dac,227
547584ac,197
55007f0c,242
551ba7ea,265
5700c368,356
571c21ff,83
5722f7d6,212
582e7062,205
586eb60d,98
589fcdd8,318
5a343b35,205
5ab4b656,273
5acf99c0,265
5ad93121,273
5b268514,144
5bc0968a,311
5bcb8806,174
5bd15eec,220
5da9639e,303
5f17a93b,311
5f32922b,220
602410d1,265
602ce2b1,273
60845764,114
610ece3e,129
616e7dc0,295
61a0762d,242
63496c55,242
637e8a0f,220
63c5649d,174
642614af,280
64b4e375,205
64c6833b,333
64e3a1ba,311
65a9dfdd,235
662f3d39,159
6640964f,424
66534e07,167
66810cc9,295
66b83b4b,174
683ba552,356
694626f7,174
699e4d61,189
6ac38c5e,318
6b14f9f8,144
6b707925,121
6c56cf27,265
6d1d3f94,144
6e43d0eb,182
6f6a15c3,227
6f706192,295
6fad20c6,159
6fb92fa9,273
6fe8b754,197
6ffbce77,174
70028ff8,152
705a7b97,402
70d7c0fd,220
70ee73b9,212
71aa7b78,303
726895c8,212
72a59199,379
72c9ce58,152
72cd94a4,136
72fd934c,295
737a170c,136
748f511e,227
75b9faa4,371
75c641f3,273
75d6a015,288
76122084,167
773a3436,379
77e0ae27,258
7853545e,76
78be7b49,235
78c17ebb,288
79997a04,311
799ae284,144
7b40afe7,273
7b5cfcfd,220
7b869493,167
7bf5373c,280
7c04d967,265
7c2f19f9,235
7cc6b046,205
7d8b89cf,227
7d8c51be,242
7dd60ead,189
7dd7b85b,167
7dea4013,235
7fbf320e,265
809f2737,280
